case_id,semantic_family,length_level,selection_role,prompt_tokens,phase,selected_occurrences,distinct_expert_keys,mean_layer_entropy_bits,mean_layer_effective_experts,median_layer_distinct_experts,top16_selected_mass_fraction,mean_layer_mass50_experts,mean_layer_mass90_experts,cold_first_occurrences,finite_stack_distance_median,finite_stack_distance_mean,finite_stack_distance_p90,core_mass_gamma_0_8,core_mass_gamma_1_0,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
04-factual-b8,factual / explanatory knowledge,8,STAGE_B2_ENDPOINT,386,DECODE,94208,29829,7.656560273711941,214.06612598486421,339.5,0.2576745074728261,56.95652173913044,224.8586956521739,2548,5423.0,13363.046410648047,38726.0,0.37678328804347827,0.14013671875,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""8da137779e43af3b0c45d708b602a46242f00272d8783ef7d1458dd028a2eb73"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
04-factual-b8,factual / explanatory knowledge,8,STAGE_B2_ENDPOINT,386,PREFILL,568192,60762,8.357727061819103,344.0922424642071,676.5,0.2130952213336337,84.76086956521739,357.85869565217394,60762,4208.0,9648.584667835958,27343.100000000035,0.840564457084929,0.7102282327100699,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""8da137779e43af3b0c45d708b602a46242f00272d8783ef7d1458dd028a2eb73"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b1,code generation,1,STAGE_B2_ENDPOINT,168,DECODE,94208,28595,7.543455361925856,195.41648481012,318.5,0.28117569633152173,50.21739130434783,210.84782608695653,5227,5654.0,11212.595846304268,33368.0,0.33395253057065216,0.12359884510869565,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""6c6f55624e99334f228a2934fbc75ff9fd5f892579f10295a373f073e0273d2c"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b1,code generation,1,STAGE_B2_ENDPOINT,168,PREFILL,247296,49200,8.203116011795652,305.23210201626614,546.0,0.2226077251552795,76.07608695652173,322.2173913043478,49200,3209.0,7208.585332364106,20334.5,0.8620236477743272,0.7861105719461697,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""6c6f55624e99334f228a2934fbc75ff9fd5f892579f10295a373f073e0273d2c"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b5,code generation,5,STAGE_B_REPRESENTATIVE,278,DECODE,94208,28228,7.464985217819071,186.19029608952548,321.5,0.30141813858695654,46.59782608695652,206.97826086956522,3193,5733.0,12169.50360929517,35885.600000000006,0.34480086616847827,0.12063731317934782,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""76eac0bc80147e7a7bec21b268fa0882ea0c1fb64bf19a88a92d49cd407d3fed"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b5,code generation,5,STAGE_B_REPRESENTATIVE,278,PREFILL,409216,57429,8.304477406980988,330.23719133402557,640.0,0.2248152564904598,81.29347826086956,352.0869565217391,57429,3645.0,8863.871035598246,25055.0,0.8156401509227401,0.7038434469815452,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""76eac0bc80147e7a7bec21b268fa0882ea0c1fb64bf19a88a92d49cd407d3fed"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b8,code generation,8,STAGE_B2_ENDPOINT,392,DECODE,94208,28808,7.509308141059984,192.4758725822668,314.5,0.29463527513586957,48.65217391304348,212.7826086956522,2446,5445.0,12975.60639480395,39338.90000000001,0.324951171875,0.11770762567934782,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""6d340743af8075222c0e12684b4403723d5bbb494cf56450da83f62b1ae1854c"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
05-codegen-b8,code generation,8,STAGE_B2_ENDPOINT,392,PREFILL,577024,62144,8.362922772652093,343.7794077191191,697.5,0.22203582519964507,84.04347826086956,366.82608695652175,62144,4139.0,9798.952864745183,27871.0,0.7994329525288376,0.6723377190550133,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""6d340743af8075222c0e12684b4403723d5bbb494cf56450da83f62b1ae1854c"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
06-debug-b1,debugging / code review,1,STAGE_B2_ENDPOINT,165,DECODE,94208,29193,7.583995851475274,206.0938593157567,317.0,0.275093410326087,55.04347826086956,218.32608695652175,6250,3921.0,11131.80141658519,33487.3,0.31868843410326086,0.12608271059782608,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""91d086139252d7555304b75faf04e624b1d873be0d379679bde30fceccc3b521"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
06-debug-b1,debugging / code review,1,STAGE_B2_ENDPOINT,165,PREFILL,242880,49448,8.231866342163283,310.8376133566858,547.5,0.21727190382081688,77.92391304347827,326.0,49448,3392.0,7479.156907853923,20990.899999999994,0.8735507246376811,0.7928853754940711,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""91d086139252d7555304b75faf04e624b1d873be0d379679bde30fceccc3b521"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
